Player,Nation,Pos,Squad,Age,Goals,Shots,Shots on Target,Shots on Target %,Average Shot Distance,Freekicks Attempted,Penalties Scored,Penalties Attempted,xG,Non-penalty xG,Non-penalty xG/shot,Goals - xG,Non-penalty Goals - Non-penalty xG,Passes Completed,Passes Attempted,Pass Completion %,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,Assists - xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes Completed,Open-play Passes,Dead-ball Passes,Free-kick Passes,Throughballs,Passes under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corners,Outswinging Corners,Straight Corners,Ground Passes,Low Passes,High Passes,Passes from Left Foot,Passes from Right Foot,Headed Passes,Throw-ins Taken,Passes from Other Bodypart,Offside Passes,Out-of-bound Passes,Passes Intercepted,Passes Blocked,Shot-creating Actions,Open-play Shot-creating Passes,Dead-ball Shot-creating Actions,Shot-creating Dribbles,Shot-creating Shots,Shot-creating Actions Fouls Drawn,Shot-creating Defensive Actions,Goal-creating Actions,Open-play Goal-creating Passes,Dead-ball Goal-creating Actions,Goal-creating Dribbles,Goal-creating Shots,Goal-creating Fouls Drawn,Goal-creating Defensive Actions,Action leading to Opposition Own-goal,Tackles Attempted,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Final Third Tackles,Successful Tackles vs Dribblers,Attempted Tackles vs Dribblers,Tackle success % vs Dribblers,Unsuccessful Tackles vs Dribblers,Pressures,Successful Pressures,Pressure Success %,Defensive Third Pressures,Middle Third Pressures,Final Third Pressures,Blocks,Shots Blocked,Shot on Target Blocked,Interceptions,Clearances,Errors,Touches,Touches in Own Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Penalty Area,Open-play Touches,Successful Dribbles,Attempted Dribbles,Dribble Success %,Number of Players Dribbled,Nutmegs,Carries,Total Distance Carried,Progressive Distance Carried,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Times Misplaced,Times Dispossessed,Attempted Ball Receipts,Successful Ball Receipts,Successful Ball Receipt %,Progressive Passes Received,90s,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own-goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Success %,Turnovers,Open-play Shot-creating Actions,Non-penalty Goals
Sandy MacIver,eng ENG,GK,Everton,22-306,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,557.0,683.0,81.6,12634.0,5580.0,117.0,121.0,96.7,337.0,342.0,98.5,98.0,215.0,45.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,535.0,148.0,40.0,0.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,467.0,28.0,188.0,140.0,454.0,0.0,1.0,83.0,0.0,34.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,719.0,579.0,717.0,4.0,0.0,0.0,572.0,0.0,0.0,,0.0,0.0,437.0,2686.0,1510.0,0.0,0.0,0.0,0.0,0.0,421.0,419.0,99.5,0.0,14.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,,0.0,1.0,0.0
Angela Addison,eng ENG,FW,Tottenham,21-132,2.0,18.0,7.0,38.9,15.7,0.0,0.0,0.0,3.3,3.3,0.18,-1.3,-1.3,169.0,275.0,61.5,2561.0,823.0,96.0,134.0,71.6,54.0,89.0,60.7,12.0,26.0,46.2,0.0,0.3,-0.3,2.0,13.0,3.0,0.0,16.0,255.0,20.0,2.0,0.0,60.0,2.0,16.0,3.0,1.0,0.0,1.0,187.0,45.0,43.0,76.0,163.0,19.0,9.0,1.0,4.0,10.0,10.0,21.0,16.0,7.0,0.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0,6.0,7.0,8.0,2.0,6.0,25.0,24.0,19.0,237.0,62.0,26.2,61.0,91.0,85.0,15.0,2.0,0.0,8.0,11.0,0.0,454.0,10.0,81.0,213.0,197.0,36.0,434.0,16.0,30.0,53.3,17.0,1.0,299.0,1760.0,1003.0,46.0,14.0,8.0,28.0,35.0,429.0,260.0,60.6,71.0,13.0,0.0,0.0,0.0,8.0,22.0,6.0,0.0,0.0,0.0,98.0,9.0,15.0,37.5,63.0,16.0,2.0
Asmita Ale,eng ENG,DF,Aston Villa LFC,19-168,0.0,1.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,365.0,528.0,69.1,6582.0,2703.0,164.0,203.0,80.8,147.0,199.0,73.9,48.0,100.0,48.0,1.0,0.5,0.5,5.0,17.0,3.0,2.0,22.0,397.0,131.0,9.0,1.0,77.0,2.0,6.0,1.0,0.0,1.0,0.0,264.0,127.0,137.0,34.0,340.0,27.0,121.0,2.0,1.0,21.0,22.0,20.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,21.0,7.0,2.0,17.0,34.0,50.0,17.0,175.0,47.0,26.9,98.0,55.0,22.0,28.0,6.0,1.0,46.0,37.0,0.0,683.0,50.0,284.0,313.0,114.0,6.0,554.0,8.0,10.0,80.0,8.0,0.0,329.0,1878.0,1066.0,28.0,13.0,1.0,12.0,18.0,314.0,267.0,85.0,9.0,11.2,1.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,128.0,8.0,10.0,44.4,30.0,9.0,0.0
Flo Allen,eng ENG,DF,Bristol City,21-250,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.1,0.1,0.13,-0.1,-0.1,218.0,360.0,60.6,3840.0,2245.0,102.0,145.0,70.3,95.0,141.0,67.4,19.0,55.0,34.5,0.0,0.4,-0.4,5.0,12.0,4.0,1.0,20.0,256.0,104.0,4.0,2.0,50.0,2.0,6.0,0.0,0.0,0.0,0.0,138.0,80.0,142.0,22.0,216.0,16.0,100.0,2.0,2.0,19.0,14.0,16.0,8.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,12.0,22.0,8.0,1.0,13.0,22.0,59.1,9.0,184.0,53.0,28.8,111.0,65.0,8.0,31.0,2.0,0.0,12.0,34.0,1.0,496.0,48.0,220.0,226.0,70.0,2.0,395.0,5.0,8.0,62.5,5.0,1.0,186.0,896.0,590.0,23.0,3.0,1.0,7.0,11.0,206.0,177.0,85.9,3.0,12.0,0.0,0.0,0.0,9.0,14.0,0.0,1.0,0.0,0.0,96.0,8.0,8.0,50.0,18.0,7.0,0.0
Jonna Andersson,se SWE,DF,Chelsea,28-108,0.0,6.0,1.0,16.7,21.9,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,705.0,928.0,76.0,12995.0,4868.0,288.0,339.0,85.0,336.0,422.0,79.6,77.0,139.0,55.4,0.0,2.4,-2.4,23.0,46.0,23.0,12.0,78.0,723.0,205.0,16.0,0.0,102.0,12.0,39.0,18.0,5.0,13.0,0.0,512.0,207.0,209.0,590.0,132.0,25.0,171.0,4.0,3.0,23.0,16.0,34.0,37.0,25.0,11.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,12.0,7.0,1.0,10.0,17.0,58.8,7.0,172.0,60.0,34.9,61.0,77.0,34.0,39.0,0.0,0.0,17.0,43.0,0.0,1087.0,35.0,283.0,508.0,354.0,12.0,883.0,1.0,9.0,11.1,3.0,0.0,588.0,2688.0,1368.0,69.0,25.0,2.0,21.0,12.0,659.0,589.0,89.4,52.0,15.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,160.0,18.0,20.0,47.4,33.0,26.0,0.0
Mackenzie Arnold,au AUS,GK,West Ham,27-054,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,503.0,705.0,71.3,14814.0,7286.0,58.0,58.0,100.0,256.0,267.0,95.9,189.0,378.0,50.0,0.0,0.3,-0.3,2.0,4.0,0.0,0.0,0.0,541.0,164.0,53.0,1.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,333.0,64.0,308.0,48.0,551.0,2.0,0.0,80.0,1.0,29.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,753.0,563.0,741.0,15.0,0.0,0.0,591.0,0.0,0.0,,0.0,0.0,441.0,2617.0,1355.0,0.0,0.0,0.0,0.0,0.0,373.0,372.0,99.7,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,,0.0,1.0,0.0
Chloe Arthur,sco SCO,MF,Aston Villa LFC,26-089,1.0,11.0,5.0,45.5,21.6,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,233.0,339.0,68.7,4475.0,1378.0,100.0,128.0,78.1,89.0,116.0,76.7,38.0,75.0,50.7,0.0,0.6,-0.6,5.0,27.0,6.0,2.0,26.0,311.0,28.0,8.0,0.0,66.0,14.0,9.0,10.0,3.0,3.0,1.0,215.0,52.0,72.0,62.0,250.0,14.0,2.0,3.0,4.0,14.0,12.0,10.0,10.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,23.0,16.0,13.0,12.0,6.0,22.0,27.3,16.0,240.0,64.0,26.7,88.0,110.0,42.0,20.0,2.0,0.0,19.0,19.0,2.0,492.0,34.0,143.0,271.0,99.0,8.0,468.0,39.0,48.0,81.3,39.0,1.0,313.0,1213.0,495.0,15.0,3.0,2.0,16.0,20.0,313.0,263.0,84.0,19.0,10.3,3.0,0.0,0.0,15.0,10.0,0.0,0.0,2.0,0.0,90.0,14.0,16.0,46.7,36.0,9.0,1.0
Anita Asante,eng ENG,"DF,MF",Aston Villa LFC,35-358,1.0,4.0,1.0,25.0,20.7,0.0,0.0,0.0,0.1,0.1,0.03,0.9,0.9,341.0,424.0,80.4,6532.0,2124.0,128.0,145.0,88.3,165.0,197.0,83.8,42.0,68.0,61.8,0.0,0.0,0.0,1.0,19.0,0.0,0.0,20.0,412.0,12.0,10.0,0.0,79.0,11.0,1.0,0.0,0.0,0.0,0.0,331.0,41.0,52.0,53.0,349.0,13.0,2.0,2.0,0.0,18.0,6.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,22.0,14.0,1.0,11.0,21.0,52.4,10.0,174.0,50.0,28.7,94.0,70.0,10.0,25.0,11.0,0.0,27.0,54.0,0.0,583.0,97.0,351.0,224.0,36.0,3.0,574.0,11.0,14.0,78.6,11.0,1.0,309.0,1725.0,900.0,17.0,3.0,0.0,7.0,13.0,311.0,285.0,91.6,2.0,14.4,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,129.0,11.0,14.0,44.0,20.0,7.0,1.0
Rosella Ayane,eng ENG,"FW,MF",Tottenham,25-035,1.0,21.0,6.0,28.6,21.0,0.0,0.0,0.0,1.9,1.9,0.09,-0.9,-0.9,181.0,257.0,70.4,2775.0,793.0,107.0,131.0,81.7,53.0,73.0,72.6,14.0,29.0,48.3,0.0,0.6,-0.6,4.0,9.0,6.0,2.0,20.0,235.0,22.0,1.0,1.0,38.0,8.0,20.0,0.0,0.0,0.0,0.0,184.0,34.0,39.0,81.0,153.0,6.0,13.0,0.0,1.0,8.0,4.0,19.0,13.0,8.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,3.0,5.0,6.0,6.0,18.0,33.3,12.0,207.0,58.0,28.0,30.0,77.0,100.0,10.0,1.0,0.0,8.0,3.0,1.0,426.0,5.0,39.0,216.0,204.0,35.0,405.0,9.0,20.0,45.0,11.0,2.0,291.0,1391.0,728.0,35.0,17.0,9.0,49.0,31.0,494.0,287.0,58.1,78.0,10.3,0.0,0.0,0.0,10.0,17.0,6.0,0.0,0.0,0.0,68.0,6.0,14.0,30.0,80.0,13.0,1.0
Sophie Baggaley,eng ENG,GK,Bristol City,24-142,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,351.0,697.0,50.4,12208.0,7636.0,27.0,29.0,93.1,150.0,155.0,96.8,174.0,513.0,33.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,396.0,301.0,86.0,0.0,52.0,14.0,0.0,0.0,0.0,0.0,0.0,195.0,31.0,471.0,28.0,551.0,0.0,0.0,60.0,4.0,42.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,776.0,677.0,773.0,4.0,0.0,0.0,477.0,0.0,0.0,,0.0,0.0,296.0,2242.0,1531.0,0.0,0.0,0.0,0.0,0.0,223.0,223.0,100.0,0.0,18.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,116.0,0.0,0.0,,0.0,0.0,0.0
